seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr10	1779563	1779667	105	*	X0006	105	1223253	1779670	556418	-	0	inside	2	ADARB2
chr10	5855379	5855391	13	*	X0015	2665	5807186	5855512	48327	-	0	inside	120	GDI2
chr10	12111208	12111369	162	*	X0021	55526	12110916	12165227	54312	+	0	inside	291	DHTKD1
chr10	13142072	13142226	155	*	X0023	10133	13142082	13180276	38195	+	0	overlapStart	0	OPTN
chr10	13142072	13142226	155	*	X0023	83643	12938625	13141713	203089	-	358	upstream	358	CCDC3
chr10	13142497	13142631	135	*	X0024	83643	12938625	13141713	203089	-	783	upstream	783	CCDC3
chr10	13390366	13390434	69	*	X0025	22929	13359438	13390298	30861	-	67	upstream	67	SEPHS1
chr10	15413966	15414145	180	*	X0034	221061	15253644	15413058	159415	-	907	upstream	907	FAM171A1
chr10	16478929	16478959	31	*	X0038	9317	16478942	16555744	76803	+	0	overlapStart	0	PTER
chr10	16859746	16859850	105	*	X0039	6251	16632617	16859453	226837	-	292	upstream	292	RSU1
chr10	22292527	22292619	93	*	X0046	64215	22045477	22292650	247174	-	0	inside	30	DNAJC1
chr10	26727442	26727485	44	*	X0051	54518	26727266	26856732	129467	+	0	inside	175	APBB1IP
chr10	27150154	27150273	120	*	X0052	10006	27035525	27150016	114492	-	137	upstream	137	ABI1
chr10	28287536	28287715	180	*	X0054	55130	28101097	28287977	186881	-	0	inside	261	ARMC4
chr10	28821081	28821200	120	*	X0055	220906	28808846	28821460	12615	-	0	inside	259	WAC-AS1
chr10	28821081	28821200	120	*	X0055	51322	28821422	28912041	90620	+	221	upstream	221	WAC
chr10	28821981	28821990	10	*	X0056	220906	28808846	28821460	12615	-	520	upstream	520	WAC-AS1
chr10	30721999	30722133	135	*	X0060	1326	30722950	30750762	27813	+	816	upstream	816	MAP3K8
chr10	31608323	31608388	66	*	X0064	220930	31605457	31608024	2568	-	298	upstream	298	ZEB1-AS1
chr10	31609394	31609496	103	*	X0065	220930	31605457	31608024	2568	-	1369	upstream	1369	ZEB1-AS1
chr10	35415866	35415945	80	*	X0070	1390	35415769	35501886	86118	+	0	inside	96	CREM
chr10	63660009	63660128	120	*	X0101	84159	63661013	63856707	195695	+	884	upstream	884	ARID5B
chr10	63660384	63660503	120	*	X0102	84159	63661013	63856707	195695	+	509	upstream	509	ARID5B
chr10	70319955	70320059	105	*	X0108	80312	70320117	70454239	134123	+	57	upstream	57	TET1
chr10	70883377	70883419	43	*	X0110	9559	70883908	70932616	48709	+	488	upstream	488	VPS26A
chr10	71334865	71334969	105	*	X0116	50674	71331791	71333210	1420	-	1654	upstream	1654	NEUROG3
chr10	71334985	71335119	135	*	X0117	50674	71331791	71333210	1420	-	1774	upstream	1774	NEUROG3
chr10	72238307	72238404	98	*	X0132	27143	72238564	72328206	89643	+	159	upstream	159	PALD1
chr10	73078945	73079010	66	*	X0151	55315	73079010	73123147	44138	+	0	overlapStart	0	SLC29A3
chr10	73849045	73849164	120	*	X0164	9806	73818792	73848790	29999	-	254	upstream	254	SPOCK2
chr10	74927993	74928119	127	*	X0168	11319	74894282	74927853	33572	-	139	upstream	139	ECD
chr10	74927993	74928119	127	*	X0168	317662	74927877	75001939	74063	+	0	inside	115	FAM149B1
chr10	75571659	75571695	37	*	X0170	8509	75561669	75571589	9921	-	69	upstream	69	NDST2
chr10	75636166	75636285	120	*	X0171	818	75572259	75634349	62091	-	1816	upstream	1816	CAMK2G
chr10	75668821	75668940	120	*	X0172	5328	75670862	75677258	6397	+	1921	upstream	1921	PLAU
chr10	75670786	75670995	210	*	X0173	5328	75670862	75677258	6397	+	0	overlapStart	0	PLAU
chr10	75911023	75911209	187	*	X0176	132	75910943	76469061	558119	+	0	inside	79	ADK
chr10	75911023	75911209	187	*	X0176	26985	75880015	75910826	30812	-	196	upstream	196	AP3M1
chr10	77054442	77054539	98	*	X0178	253264	77056141	77121436	65296	+	1601	upstream	1601	ZNF503-AS1
chr10	77055132	77055236	105	*	X0179	253264	77056141	77121436	65296	+	904	upstream	904	ZNF503-AS1
chr10	80828308	80828335	28	*	X0200	283050	80703083	80828536	125454	-	0	inside	200	ZMIZ1-AS1
chr10	80828308	80828335	28	*	X0200	57178	80828792	81076285	247494	+	456	upstream	456	ZMIZ1
chr10	81965361	81965420	60	*	X0209	311	81914880	81965433	50554	-	0	inside	12	ANXA11
chr10	92618343	92618432	90	*	X0230	3363	92500576	92617671	117096	-	671	upstream	671	HTR7
chr10	93169330	93169345	16	*	X0237	143279	93170096	93274520	104425	+	750	upstream	750	HECTD2
chr10	93370939	93371043	105	*	X0238	100188947	93066719	93371217	304499	-	0	inside	173	HECTD2-AS1
chr10	98946983	98947117	135	*	X0259	6585	98757795	98945683	187889	-	1299	upstream	1299	SLIT1
chr10	99259265	99259399	135	*	X0261	64210	99218081	99258513	40433	-	751	upstream	751	MMS19
chr10	99610143	99610248	106	*	X0265	401647	99609995	99631335	21341	+	0	inside	147	GOLGA7B
chr10	102090470	102090509	40	*	X0287	9033	102047903	102090243	42341	-	226	upstream	226	PKD2L1
chr10	102503625	102503714	90	*	X0305	5076	102505468	102589698	84231	+	1753	upstream	1753	PAX2
chr10	102790508	102790515	8	*	X0316	81855	102790996	102800998	10003	+	480	upstream	480	SFXN3
chr10	102791498	102791677	180	*	X0317	79955	102767440	102790914	23475	-	583	upstream	583	PDZD7
chr10	103824876	103824923	48	*	X0334	79803	103825124	103827795	2672	+	200	upstream	200	HPS6
chr10	103880436	103880519	84	*	X0335	8861	103867325	103880210	12886	-	225	upstream	225	LDB1
chr10	103985897	103986031	135	*	X0336	83401	103986143	103989344	3202	+	111	upstream	111	ELOVL3
chr10	104153902	104153969	68	*	X0339	4791	104153867	104162286	8420	+	0	inside	34	NFKB2
chr10	105880283	105880375	93	*	X0356	119392	105881816	105886143	4328	+	1440	upstream	1440	SFR1
chr10	105882101	105882175	75	*	X0357	119392	105881816	105886143	4328	+	0	inside	284	SFR1
chr10	111768123	111768371	249	*	X0359	100505933	111705317	111768139	62823	-	0	overlapStart	0	ADD3-AS1
chr10	111966591	111966710	120	*	X0360	4601	111967363	112047123	79761	+	652	upstream	652	MXI1
chr10	111966921	111967040	120	*	X0361	4601	111967363	112047123	79761	+	322	upstream	322	MXI1
chr10	111967206	111967325	120	*	X0362	4601	111967363	112047123	79761	+	37	upstream	37	MXI1
chr10	116852682	116852981	300	*	X0382	26033	116853124	117708496	855373	+	142	upstream	142	ATRNL1
chr10	120840527	120840624	98	*	X0400	8661	120794541	120840334	45794	-	192	upstream	192	EIF3A
chr10	121410511	121410630	120	*	X0401	9531	121410882	121437329	26448	+	251	upstream	251	BAG3
chr10	121410781	121410870	90	*	X0402	9531	121410882	121437329	26448	+	11	upstream	11	BAG3
chr10	121485495	121485623	129	*	X0403	22876	121485559	121588662	103104	+	0	overlapStart	0	INPP5F
chr10	134210241	134210283	43	*	X0450	170394	134210702	134231358	20657	+	418	upstream	418	PWWP2B
chr10	134257252	134257386	135	*	X0451	170393	134258714	134261825	3112	+	1327	upstream	1327	LINC02870
chr10	135063034	135063189	156	*	X0457	574448	135061015	135061124	110	-	1909	upstream	1909	MIR202
chr11	207810	207914	105	*	X0459	51272	202924	207422	4499	-	387	upstream	387	BET1L
chr11	207810	207914	105	*	X0459	60626	208530	215110	6581	+	615	upstream	615	RIC8A
chr11	207945	208001	57	*	X0460	51272	202924	207422	4499	-	522	upstream	522	BET1L
chr11	207945	208001	57	*	X0460	60626	208530	215110	6581	+	528	upstream	528	RIC8A
chr11	287913	287954	42	*	X0461	80162	289138	295688	6551	+	1183	upstream	1183	PGGHG
chr11	559061	559165	105	*	X0464	8045	560971	564025	3055	+	1805	upstream	1805	RASSF7
chr11	826318	826388	71	*	X0469	283229	826157	831991	5835	+	0	inside	160	CRACR2B
chr11	1785314	1785354	41	*	X0481	1509	1773982	1785222	11241	-	91	upstream	91	CTSD
chr11	1785314	1785354	41	*	X0481	81532	1490685	1785501	294817	-	0	inside	146	MOB2
chr11	1858938	1859121	184	*	X0484	7136	1860233	1862910	2678	+	1111	upstream	1111	TNNI2
chr11	2171739	2171843	105	*	X0489	3481	2150342	2170833	20492	-	905	upstream	905	IGF2
chr11	3238421	3238600	180	*	X0496	283303	3239562	3244361	4800	+	961	upstream	961	MRGPRG-AS1
chr11	3238616	3238720	105	*	X0497	283303	3239562	3244361	4800	+	841	upstream	841	MRGPRG-AS1
chr11	3862815	3862882	68	*	X0498	391	3848208	3862213	14006	-	601	upstream	601	RHOG
chr11	4208429	4208548	120	*	X0499	100506082	4208382	4223883	15502	+	0	inside	46	LINC02749
chr11	4664504	4664536	33	*	X0502	143503	4665156	4676716	11561	+	619	upstream	619	OR51E1
chr11	5264960	5264988	29	*	X0506	3044	5263185	5264822	1638	-	137	upstream	137	HBBP1
chr11	6624710	6624844	135	*	X0509	23378	6621144	6624880	3737	-	0	inside	35	RRP8
chr11	6624710	6624844	135	*	X0509	3611	6624964	6632099	7136	+	119	upstream	119	ILK
chr11	6624920	6624994	75	*	X0510	23378	6621144	6624880	3737	-	39	upstream	39	RRP8
chr11	6624920	6624994	75	*	X0510	3611	6624964	6632099	7136	+	0	overlapStart	0	ILK
chr11	7961731	7961835	105	*	X0515	26496	7960123	7961067	945	-	663	upstream	663	OR10A3
chr11	9026249	9026323	75	*	X0524	56675	9002123	9025596	23474	-	652	upstream	652	NRIP3
chr11	9779726	9779875	150	*	X0528	283104	9779840	9832866	53027	+	0	overlapStart	0	SBF2-AS1
chr11	10326801	10326905	105	*	X0529	133	10326642	10328923	2282	+	0	inside	158	ADM
chr11	10472024	10472164	141	*	X0530	272	10471868	10529126	57259	+	0	inside	155	AMPD3
chr11	11863106	11863139	34	*	X0543	55031	11862970	11980872	117903	+	0	inside	135	USP47
chr11	17037061	17037135	75	*	X0576	144100	16800548	17035963	235416	-	1097	upstream	1097	PLEKHA7
chr11	17037661	17037780	120	*	X0577	144100	16800548	17035963	235416	-	1697	upstream	1697	PLEKHA7
chr11	17373582	17373625	44	*	X0578	374383	17373309	17398868	25560	+	0	inside	272	NCR3LG1
chr11	19138951	19139019	69	*	X0588	54503	19138692	19197967	59276	+	0	inside	258	ZDHHC13
chr11	43963793	43963912	120	*	X0641	387763	43964106	43965433	1328	+	193	upstream	193	C11orf96
chr11	44587133	44587239	107	*	X0648	3732	44587141	44641315	54175	+	0	overlapStart	0	CD82
chr11	46354383	46354487	105	*	X0676	8525	46354455	46402104	47650	+	0	overlapStart	0	DGKZ
chr11	46402144	46402275	132	*	X0678	4192	46402334	46405387	3054	+	58	upstream	58	MDK
chr11	46402336	46402575	240	*	X0679	4192	46402334	46405387	3054	+	0	inside	1	MDK
chr11	47376807	47376880	74	*	X0686	91252	47377001	47438051	61051	+	120	upstream	120	SLC39A13
chr11	47377091	47377092	2	*	X0687	91252	47377001	47438051	61051	+	0	inside	89	SLC39A13
chr11	48001440	48001544	105	*	X0692	5795	48002110	48192394	190285	+	565	upstream	565	PTPRJ
chr11	48001575	48001694	120	*	X0693	5795	48002110	48192394	190285	+	415	upstream	415	PTPRJ
chr11	48001875	48001923	49	*	X0694	5795	48002110	48192394	190285	+	186	upstream	186	PTPRJ
